"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001659","temperature homeostasis","52/1767","194/18842",0.268041237113402,2.85819637220754,8.36885871247291,1.76892790980206e-12,8.25928522249399e-10,8.25928522249399e-10,"HTR2A/FABP4/MAP2K6/TLR4/EBF2/PEMT/PM20D1/IL13/ARRDC3/ALPL/LAMA4/ALDH1A1/ACADL/PRDM16/LEP/NOVA2/CD36/LPIN1/PTGS2/PER2/G0S2/DRD2/ADAMTS5/QKI/SCD/PLCL2/S100B/ADIPOQ/ELOVL3/LGR4/WNT10B/FOXO1/ZNF423/EGR1/ABHD6/ADRB3/CIDEA/LEPR/ADRB2/ACSL1/NPR3/PTGER3/EDNRB/SCTR/OXTR/ADRB1/CAV1/FFAR4/PPARGC1A/HADH/EPAS1/ID1",52
"GO:0034308","primary alcohol metabolic process","36/1767","106/18842",0.339622641509434,3.62148829163597,8.70667451758292,2.60428557462585e-12,1.04438946590636e-09,1.04438946590636e-09,"ADH1A/SULT1C4/AKR1C1/AKR1C3/BMP5/IGF1/CYP1A2/ADH1B/ALDH2/LIPE/ALDH1A1/CYP3A4/ALDH1A3/DHRS9/BMP2/TKTL1/RPE65/ADH4/AKR1C2/PNPLA2/CES1/DHRS3/CYP11A1/ACSS2/DGAT2/RBP4/ADH6/BMP6/PECR/ALDH1A2/EDNRB/ADH1C/RETSAT/DKK3/RDH5/CYP1A1",36
"GO:0008016","regulation of heart contraction","54/1767","208/18842",0.259615384615385,2.76834922293326,8.24966952046219,2.64350916214616e-12,1.04438946590636e-09,1.04438946590636e-09,"ATP1A2/DMD/SCN5A/KCNIP2/NOS1/JPH4/CELF2/GSTM2/SCN2B/TRPC1/MYL3/ANK2/CACNA2D1/DRD2/JPH2/KCNJ2/SPX/TAC1/HCN1/SCN3B/ATP1B2/SCN4B/EDN3/BIN1/RGS2/ACE2/KCNA5/TRDN/EDN1/CASQ2/DES/TBX18/SLC8A3/ABCC9/HRC/ADRB3/CLIC2/FXYD1/ADRB2/ATP2B4/PLN/KCNE1/EDNRB/ADRB1/CAV1/HSPB7/ADRA1A/ADM/MYL2/CACNA1G/CTNNA3/CAV3/AVPR1A/KCNIP1",54
"GO:0008217","regulation of blood pressure","46/1767","162/18842",0.283950617283951,3.02784240569564,8.33860046044328,3.74459515537146e-12,1.37373147985627e-09,1.37373147985627e-09,"EMILIN2/MAS1/NOS1/KLK2/AVPR2/SGK1/UTS2B/LEP/MME/ADRA2B/PTGS2/MIR27B/CMA1/ACSM3/DRD2/NPR2/SPX/AVP/TAC1/HBB/ADIPOQ/EDN3/ACE2/EDN1/TACR1/ADRB3/ACVRL1/PPARA/ADRB2/NPR1/RARRES2/NPR3/KL/RASL10B/EDNRB/OXTR/ADRB1/KLK3/PCSK5/PDE1C/ADRA1A/ADM/PPARG/AVPR1A/CTSG/FFAR3",46
"GO:0009611","response to wounding","96/1767","496/18842",0.193548387096774,2.06385891888932,7.72403220482065,4.02907370644334e-12,1.3795548370862e-09,1.3795548370862e-09,"HTR2A/NTRK3/FERMT2/CX3CR1/MIR221/YAP1/NDNF/DMTN/ADAMTS18/SERPIND1/KDR/PTN/C1QTNF1/TLR4/IGF1/SERPING1/EMILIN2/IL6/CSRP1/FGF2/F3/ANGPTL2/DST/THBD/PEAR1/PRRG3/FGF7/LYVE1/IL33/NRP1/ANGPTL1/ECRG4/MMRN1/PRRG1/SVEP1/CD36/ADRA2B/ZFP36/MAP1B/KANK1/ANGPTL7/ANGPTL4/DRD2/RGMA/PHLDB2/ANXA1/ARHGAP24/NPR2/HBEGF/ZFP36L2/AHNAK/ADRA2A/F8/MYLK/RASA3/PDGFRA/HBB/EPB41L4B/MCAM/MIR222/EDN1/SAA1/TMEFF2/PROS1/ANGPT4/F10/FBLN1/PRKCA/FZD7/PF4/MYL9/PLA2G4A/SCARF1/F13A1/ACVRL1/CD34/ANGPT1/STXBP1/TLR3/PPL/FGF1/SELP/DDR2/CAV1/KCNB1/NRG1/DGKI/P2RY12/ANO6/PPARG/VWF/PDGFA/CTSG/APOD/TYRO3/TFPI",96
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","67/1767","294/18842",0.227891156462585,2.43006517830675,7.95006806258963,4.61974533616695e-12,1.45524826597479e-09,1.45524826597479e-09,"GRK5/GPR146/CRHR2/NRXN1/ADGRG3/GALR1/ADGRG4/GPBAR1/MAS1/NOS1/GNAI1/MRAP/MRAP2/AVPR2/CNR1/PTH1R/LHCGR/ABCA1/CALCR/ADRA2B/MARCO/GLP2R/MRGPRX4/PALM/PTGER4/PDE3B/PTGFR/ADCY5/ADGRF5/DRD2/VIP/PDE2A/ADCY4/TAC1/ADRA2A/HTR4/GNAL/PRKAR2B/GNG2/ADGRD1/RGS2/AKAP12/CALCRL/PRKCA/AKAP6/TACR1/PF4/ADRB3/GPR88/OPN4/ADCYAP1R1/ADGRL3/NPY2R/MRGPRX2/ADRB2/HCAR3/ATP2B4/S1PR1/PTGER3/SCTR/ADRB1/RAPGEF3/FFAR4/P2RY12/ADRA1A/ADM/FFAR3",67
"GO:1901342","regulation of vasculature development","77/1767","362/18842",0.212707182320442,2.26815434594328,7.83727903634442,4.8168264255396e-12,1.45524826597479e-09,1.45524826597479e-09,"ISM1/MIR221/SERPINF1/TNMD/PTGIS/KDR/PTPRM/PPP1R16B/EMILIN2/IL6/KLF2/FGF2/F3/ECSCR/MIR126/ADGRA2/HSPB6/TIE1/SFRP1/MIR145/MIR205/EPHA2/CCBE1/SPRY2/MIR125B1/RECK/C3/CXCL12/PRKD1/NRP1/SEMA6A/BMPER/ADAMTS1/ADGRB3/TWIST1/LEP/CD36/CLDN5/CCL24/ADAMTS9/PDE3B/ANGPTL7/MIR27B/AQP1/SEMA5A/CMA1/ANGPTL4/NODAL/QKI/SASH1/RGCC/CDH5/ANXA3/DCN/MIR222/HOXA5/FOXO4/ANGPT4/KLF4/DAB2IP/C6/PRKCA/PF4/TEK/COL4A3/CD34/NPR1/RHOJ/TLR3/ATP2B4/FGF1/KLK3/RAPGEF3/ADM/PPARG/FBLN5/HYAL1",77
"GO:0010817","regulation of hormone levels","94/1767","487/18842",0.193018480492813,2.0582083811237,7.61111662041262,7.96535643440428e-12,2.15075581354231e-09,2.15075581354231e-09,"AKR1D1/ITSN1/ADH1A/AKR1C1/AKR1C3/BMP5/C1QTNF1/GALR1/IL6/PDE8B/CYP1A2/CHST9/ACSL4/ADH1B/AKR1C8/LIPE/CCN3/PRKD1/NMB/ALDH1A1/TPO/ECRG4/LEP/CYP3A4/ALDH1A3/MME/DHRS9/HSD3B1/BMP2/MYRIP/PER2/RPE65/CACNA2D1/ADH4/NNAT/GHR/CMA1/NR5A2/ADCY5/AKR1C2/DRD2/PNPLA2/CES1/VIP/HCAR2/ANXA1/UGT2B28/TAC1/DHRS3/ADRA2A/CYP11A1/EDN3/ACE2/FOXO1/KCNA5/EDN1/IRS2/PRKN/EGR1/PRKCA/DGAT2/TACR1/RBP4/CRY2/SLCO1C1/CYP46A1/ADH6/BMP6/CRHBP/ALDH1A2/RASL10B/TCF7L2/EDNRB/DOC2B/PCSK5/HSD17B11/KCNB1/RAPGEF3/FFAR4/FAM3D/ADM/HADH/PPARG/ADH1C/CYP26B1/RETSAT/GPLD1/DKK3/CTSG/DPP4/RDH5/CYP1A1/MLXIPL/FFAR3",94
"GO:0045765","regulation of angiogenesis","75/1767","352/18842",0.213068181818182,2.27200378144775,7.74963363959539,8.37708578001103e-12,2.15075581354231e-09,2.15075581354231e-09,"ISM1/MIR221/SERPINF1/TNMD/PTGIS/KDR/PTPRM/PPP1R16B/EMILIN2/IL6/KLF2/FGF2/F3/ECSCR/MIR126/ADGRA2/HSPB6/TIE1/SFRP1/MIR145/MIR205/EPHA2/CCBE1/SPRY2/MIR125B1/RECK/C3/PRKD1/NRP1/SEMA6A/BMPER/ADAMTS1/ADGRB3/TWIST1/LEP/CD36/CLDN5/CCL24/ADAMTS9/PDE3B/MIR27B/AQP1/SEMA5A/CMA1/ANGPTL4/NODAL/QKI/SASH1/RGCC/CDH5/ANXA3/DCN/MIR222/HOXA5/FOXO4/ANGPT4/KLF4/DAB2IP/C6/PRKCA/PF4/TEK/COL4A3/CD34/NPR1/RHOJ/TLR3/ATP2B4/FGF1/KLK3/RAPGEF3/ADM/PPARG/FBLN5/HYAL1",75
"GO:0032970","regulation of actin filament-based process","79/1767","380/18842",0.207894736842105,2.21683793524558,7.70859198037938,8.59438141805478e-12,2.15075581354231e-09,2.15075581354231e-09,"MYOC/LIMCH1/CAPZA3/FERMT2/ATP1A2/SHANK3/DMTN/SCN5A/GPM6B/CORO2B/KANK3/ARHGAP6/SFRP1/PLEKHH2/SLIT2/SYNPO2/ITGB1BP1/ZEB2/NEDD9/CXCL12/PRKD1/LRP1/CX3CL1/NRP1/ANK2/CCL24/KANK1/CSF3/PTGER4/SEMA5A/SYNPO/ADD3/FAM107A/CYRIA/ARAP3/PHLDB2/KCNJ2/CFL2/TAC1/ACTA2/PDGFRA/RGCC/BIN1/TENM1/TMOD2/DIXDC1/CCL21/EDN1/TMEFF2/PRKN/PROX1/SPTA1/TACR1/LMOD1/ESAM/TMOD1/ARHGEF15/BST1/ADRB2/DLC1/SPTB/PLN/S1PR1/FHOD3/DAAM2/KANK2/RND3/PAK3/CAV1/WASF3/RAPGEF3/GSN/EPS8/PIK3R1/RHOQ/CTNNA3/PDGFA/CAV3/SPTBN1",79
