"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","symbol"
24223.670059404,6.27811343377144,0.142576010210038,44.0334487163918,0,0,"ENSG00000099953","MMP11"
558.63396393891,-4.76431641892624,0.121731993119145,-39.1377508644189,0,0,"ENSG00000101605","MYOM1"
4815.76790132458,-4.43016806054451,0.106123358291882,-41.7454567199029,0,0,"ENSG00000119927","GPAM"
8544.67496142211,7.12812759147884,0.154794261001783,46.0490430675382,0,0,"ENSG00000123500","COL10A1"
1467.79894227832,4.25332178829085,0.111465201654834,38.1582926791967,1.38567627295219e-318,1.32775500474279e-314,"ENSG00000117650","NEK2"
303.868886875228,5.56056820553943,0.151924106605137,36.6009603728774,2.76121615826978e-293,2.20483110237842e-289,"ENSG00000230838","LINC01614"
9076.08245348114,-5.03083219277581,0.139508660517064,-36.0610744460589,9.24824232407946e-285,6.32976128209496e-281,"ENSG00000022267","FHL1"
15043.0194133589,-3.11047776780425,0.0872483519225526,-35.6508484030199,2.28601557027396e-278,1.36903757464782e-274,"ENSG00000079308","TNS1"
12047.5258747071,6.20002256547991,0.175437852771471,35.3402784378362,1.4140763638646e-273,7.52759984363925e-270,"ENSG00000060718","COL11A1"
1538.29249330013,3.85256145001269,0.112176275199341,34.3438168468918,1.74197026081391e-258,8.34577951955944e-255,"ENSG00000090889","KIF4A"
750.883659098458,-4.98260474588487,0.145417936062982,-34.2640315272172,2.69582201334053e-257,1.17415302417404e-253,"ENSG00000133800","LYVE1"
921.171746610623,4.00619584755707,0.118205894998176,33.8916756022946,8.83548841198189e-252,3.52756874848377e-248,"ENSG00000127564","PKMYT1"
479.284792235825,4.99077876139868,0.149830047993664,33.3095986301075,2.80375876113094e-243,1.03329294035218e-239,"ENSG00000203805","PLPP4"
8542.12504304422,-3.38836440470352,0.102769374993215,-32.9705654522781,2.14649148794402e-238,7.34560051338558e-235,"ENSG00000105974","CAV1"
365.035525525167,-4.7105025586586,0.143376323596833,-32.8541173360275,9.9478986416851e-237,3.17735882615422e-233,"ENSG00000134962","KLB"
6572.98003456095,-3.6695570101894,0.111751944103421,-32.8366279408383,1.76783112193844e-236,5.29354931575441e-233,"ENSG00000095637","SORBS1"
3673.53745380727,-2.44199183814342,0.0746447855577946,-32.7148349331472,9.60930910661758e-235,2.70812940763558e-231,"ENSG00000170145","SIK2"
2242.68597455363,3.70632236888348,0.114120150727843,32.4773700809634,2.22574584501818e-231,5.92419352415671e-228,"ENSG00000183856","IQGAP3"
1171.09928796066,-3.61440449093762,0.111365162404092,-32.4554323175379,4.54036193438539e-231,1.14488810671792e-227,"ENSG00000169418","NPR1"
973.577234101113,-5.15365791422575,0.159801670943879,-32.2503380833589,3.47977945834355e-228,8.33581169246197e-225,"ENSG00000173641","HSPB7"
442.960988906512,-3.99670023018709,0.124010684464824,-32.2286764840877,7.00062068668197e-228,1.59714160523302e-224,"ENSG00000163815","CLEC3B"
2243.65760792188,-4.12431015233602,0.128676189736139,-32.0518517123738,2.06871878183939e-225,4.50510531081478e-222,"ENSG00000056998","GYG2"
272.656016748574,-4.64186279651203,0.145000821688038,-32.0126654626741,7.26722503158196e-225,1.5137945707091e-221,"ENSG00000181856","SLC2A4"
762.676157532943,-5.04356967734756,0.158234917192178,-31.873936339993,6.13496858049148e-223,1.22469310288061e-219,"ENSG00000120049","KCNIP2"
4772.50481940732,-3.99393549944185,0.125448268800112,-31.8373106113227,1.97250196995887e-222,3.78010277522918e-219,"ENSG00000131471","AOC3"
2248.16333971714,4.18853765077558,0.13163184996044,31.8200925690429,3.41395211784605e-222,6.29086330638478e-219,"ENSG00000175063","UBE2C"
162.825226782781,6.96352407368078,0.219882464319282,31.6693015754514,4.11342316907798e-220,7.29904089001948e-217,"ENSG00000029559","IBSP"
342.035213583155,3.41204086293455,0.107991212818356,31.5955416546132,4.25120527436114e-219,7.27411588195151e-216,"ENSG00000158402","CDC25C"
4448.14858546029,3.57265673497842,0.113218201690256,31.5554979821401,1.50724408439593e-218,2.49007117528996e-215,"ENSG00000088325","TPX2"
563.911675156113,-5.20868302080367,0.165532989478362,-31.4661327462133,2.52565280459812e-217,4.03346752894319e-214,"ENSG00000123612","ACVR1C"
1513.54215566877,3.06122423666348,0.0973837910710005,31.4346381774315,6.80743423059793e-217,1.05207798060628e-213,"ENSG00000105011","ASF1B"
1002.46153664997,3.78184781041741,0.12038017102077,31.4158700585738,1.22853097047976e-216,1.83934121236517e-213,"ENSG00000143228","NUF2"
1234.70167658398,3.3508577039821,0.106783973335718,31.3797810599099,3.81935781817843e-216,5.54501312330087e-213,"ENSG00000276043","UHRF1"
294.490478841553,3.01875002590159,0.0972135672593693,31.0527646603838,1.04691162941031e-211,1.47522165191318e-208,"ENSG00000025423","HSD17B6"
147.026532470314,-5.05558835466685,0.162868674971241,-31.0408883449169,1.51429225290834e-211,2.07284976676681e-208,"ENSG00000172901","LVRN"
1330.39679635789,3.21560801764193,0.103716903758517,31.003702396755,4.80538826753777e-211,6.39517088604818e-208,"ENSG00000077152","UBE2T"
417.212073118562,2.8175105087327,0.0910063723039828,30.9594859942504,1.89358454040694e-210,2.45193609002423e-207,"ENSG00000152253","SPC25"
83.207425185541,-4.2133895161261,0.136278837931101,-30.9174159399295,6.96857600102958e-210,8.7859072686665e-207,"ENSG00000135437","RDH5"
873.184520301917,3.53318260698843,0.114478984897735,30.8631545793723,3.73119155452987e-209,4.58362531737247e-206,"ENSG00000123485","HJURP"
36567.2769785752,-2.56823380538969,0.0833817310789049,-30.8009173251554,2.54736162646484e-208,3.05110238809826e-205,"ENSG00000148180","GSN"
62.1325606063483,-3.89251418470486,0.126938150313239,-30.6646518410699,1.68561468860114e-206,1.9697024324605e-203,"ENSG00000145708","CRHBP"
1301.20222212617,-2.25532633349911,0.0738191504854217,-30.5520494162894,5.31105613049856e-205,6.05839760029014e-202,"ENSG00000165410","CFL2"
1682.17430056028,6.20094828830559,0.20351642800483,30.4690306777516,6.70509266094516e-204,7.47072068339262e-201,"ENSG00000137745","MMP13"
3695.63346309768,-3.66303854612417,0.120245718560959,-30.462943628776,8.07291524820274e-204,8.79030385321348e-201,"ENSG00000076555","ACACB"
371.498178844158,3.25193435818869,0.10678332082562,30.4535795763385,1.07406348761504e-203,1.14351959314748e-200,"ENSG00000166803","PCLAF"
281.720179221507,-3.86204601680348,0.127157502630739,-30.3721442848618,1.28173700463853e-202,1.33495695417895e-199,"ENSG00000124743","KLHL31"
2620.65807910395,3.16439583408283,0.10484457783518,30.1817785852253,4.10832255328631e-200,4.18786667080738e-197,"ENSG00000170312","CDK1"
21387.2368092249,-2.04241134073946,0.0677323063459691,-30.1541679432418,9.458228907929e-200,9.44049472872664e-197,"ENSG00000115306","SPTBN1"
623.558595673187,3.3560932392276,0.11136893915455,30.1349125232328,1.69110677020584e-199,1.65348827266453e-196,"ENSG00000169607","CKAP2L"
48.424204759401,-3.61346696679378,0.120461197731763,-29.9969370621739,1.07589391568149e-197,1.030921550006e-194,"ENSG00000279204",NA
750.465678854434,3.5224843061644,0.117825217574853,29.8958438496123,2.22846255550614e-196,2.093443941849e-193,"ENSG00000135451","TROAP"
1714.22102527587,3.04899499440572,0.101992563352779,29.8942873301425,2.33472967276057e-196,2.15109420426844e-193,"ENSG00000143476","DTL"
108.939779265095,-3.37521240509732,0.113015940319656,-29.8649234395681,5.61958673527346e-196,5.07989434881041e-193,"ENSG00000068976","PYGM"
178.841323559091,-3.77545798818324,0.126472421079066,-29.8520258881023,8.26302160789203e-196,7.3311363932242e-193,"ENSG00000183549","ACSM5"
272.133009030588,-2.82484052788022,0.0949693879327642,-29.7447481695905,2.02772643179752e-194,1.76633406086217e-191,"ENSG00000165028","NIPSNAP3B"
1353.02289636006,3.43925284196314,0.115997581892697,29.649349459238,3.45767155612453e-193,2.9581615045344e-190,"ENSG00000138180","CEP55"
4461.06542840212,3.41643816037218,0.11527666338226,29.6368584944482,5.00925296241523e-193,4.21040893735638e-190,"ENSG00000122641","INHBA"
6313.28474025513,-2.03014399924896,0.068518786257226,-29.6290128611971,6.32202836897596e-193,5.22221343375239e-190,"ENSG00000121691","CAT"
1689.28181132168,3.38743057528912,0.114331367478059,29.628182099188,6.4797529845404e-193,5.26177907609035e-190,"ENSG00000112984","KIF20A"
826.609333079176,3.4655426776825,0.117174515606768,29.57590786475,3.05043263608118e-192,2.43577045991082e-189,"ENSG00000168078","PBK"
6567.38697456581,3.27915778983252,0.111019807336841,29.5366914111404,9.73473581566936e-192,7.64575726112654e-189,"ENSG00000117724","CENPF"
2983.33539816644,-4.01078349735272,0.136021109661042,-29.4864782925783,4.2916947598626e-191,3.31637251524221e-188,"ENSG00000123243","ITIH5"
325.423869275848,4.97542465424393,0.168925067248716,29.4534419034351,1.13745821045066e-190,8.65009886709384e-188,"ENSG00000155886","SLC24A2"
1549.73024780614,3.30570404730177,0.112314377197122,29.432599189861,2.1026003765946e-190,1.57399350066636e-187,"ENSG00000169679","BUB1"
1369.17085793491,3.39145080019737,0.115432415770927,29.3804021820666,9.77547925603639e-190,7.20528017164159e-187,"ENSG00000166851","PLK1"
1191.23548777932,3.64805282417766,0.124327681879736,29.3422411567722,3.00130407395731e-189,2.1786739118681e-186,"ENSG00000165304","MELK"
1756.98933039528,-2.83350964099429,0.0967867986323131,-29.2757863782499,2.10949366021291e-188,1.50844539195225e-185,"ENSG00000108960","MMD"
295.991564075931,-3.59241161384345,0.122974172515391,-29.2127325629601,1.33639552932565e-187,9.41569261911646e-185,"ENSG00000280339",NA
1855.14067204782,3.55374557277932,0.121767179976247,29.1847571198786,3.02762892571053e-187,2.1022275627651e-184,"ENSG00000104415","CCN4"
787.036526206434,-3.13075484975155,0.107316421954429,-29.173119945063,4.25348258311657e-187,2.91120500795878e-184,"ENSG00000186642","PDE2A"
3249.97564798867,-4.53067712458483,0.155501838413068,-29.1358428351808,1.26266353662907e-186,8.52031127322521e-184,"ENSG00000079435","LIPE"
645.870762926635,3.16925935450078,0.108988766192828,29.0787708238993,6.66181583833199e-186,4.43288328909008e-183,"ENSG00000161888","SPC24"
775.415067508539,3.0393100228555,0.104553285144552,29.0694837436571,8.72964343314701e-186,5.72927694359005e-183,"ENSG00000072571","HMMR"
2003.94371807016,3.17202156294603,0.109358666820126,29.0056714769885,5.58053958977566e-185,3.61302232089394e-182,"ENSG00000237649","KIFC1"
686.281862769282,3.56320593494744,0.123051508774641,28.957027592999,2.28905774096096e-184,1.46225008492586e-181,"ENSG00000186185","KIF18B"
26.8252506044498,-2.71088900747061,0.0936536860843758,-28.9458869246031,3.16155104217759e-184,1.99302513724643e-181,"ENSG00000258311",NA
3210.52383136821,3.41546038328161,0.118123384568505,28.9143457559907,7.88246036967055e-184,4.90452826377813e-181,"ENSG00000171848","RRM2"
767.437389840717,2.8832791674643,0.0997424545126133,28.9072409692874,9.68221085286248e-184,5.94711182000822e-181,"ENSG00000075702","WDR62"
1024.56013689711,3.31764369564051,0.114896414039783,28.8750847741147,2.45430937670638e-183,1.48842990174687e-180,"ENSG00000126787","DLGAP5"
110.198523513876,-2.89251522086323,0.100306568537897,-28.8367478124865,7.42920576640112e-183,4.44916560335347e-180,"ENSG00000077616","NAALAD2"
33.6409681915877,-3.79622210603852,0.13177443543163,-28.8084869694484,1.67927725149364e-182,9.93261396531606e-180,"ENSG00000185271","KLHL33"
3647.21326425249,-2.03539020929287,0.0707114070257008,-28.7844676680395,3.35639293981178e-182,1.96103397251686e-179,"ENSG00000122729","ACO1"
8209.27482216561,-4.71596326784061,0.164292992786913,-28.704591643523,3.34361538110055e-181,1.93003148082563e-178,"ENSG00000175445","LPL"
1162.70143152024,-3.0444893421813,0.106381326655036,-28.618644248099,3.93869885050432e-180,2.24646502294835e-177,"ENSG00000164330","EBF1"
1877.80263225764,3.55652910876673,0.12428063771094,28.6169203366877,4.13813433352103e-180,2.33244724610579e-177,"ENSG00000066279","ASPM"
2941.77052025001,2.5804380684444,0.090221763504874,28.6010599682525,6.51786718903347e-180,3.63105833751853e-177,"ENSG00000134057","CCNB1"
56.9900827463386,-5.00482611800602,0.175151178686596,-28.5743216547879,1.40113382379806e-179,7.71589902277761e-177,"ENSG00000170509","HSD17B13"
1731.82040924344,-3.66712201662772,0.128354682256658,-28.5702239462908,1.57539446418741e-179,8.57694872491125e-177,"ENSG00000135424","ITGA7"
1369.97618207955,3.22343947519984,0.112829424475365,28.5691386815824,1.62506734062413e-179,8.74797486396651e-177,"ENSG00000164611","PTTG1"
822.504621798001,3.45246504289939,0.121000081434278,28.5327497467397,4.5986331710531e-179,2.44800572472394e-176,"ENSG00000174371","EXO1"
1347.11239638767,-2.9971352346023,0.10509262554855,-28.5189871216766,6.81299104305693e-179,3.58692748211932e-176,"ENSG00000176438","SYNE3"
200.595143454341,3.41619694834712,0.119795737407874,28.5168489486053,7.24189038140719e-179,3.77129313231759e-176,"ENSG00000109674","NEIL3"
581.649740749459,2.91361072571022,0.102384108942458,28.4576459746085,3.91924914143123e-178,2.01904544479538e-175,"ENSG00000100526","CDKN3"
393.189914099289,-4.22481407038884,0.148866086293542,-28.3799633319984,3.57401498885149e-177,1.82160700123271e-174,"ENSG00000286214",NA
1895.46908697635,2.66309968328482,0.0938678661084283,28.3707278506644,4.64631418639881e-177,2.3432096070565e-174,"ENSG00000123975","CKS2"
1426.29807544834,-2.42053747037888,0.0853567011491413,-28.3579079063698,6.68692475161158e-177,3.33719338385116e-174,"ENSG00000138640","FAM13A"
1464.30647467312,3.11969244380361,0.11012187658999,28.3294522433447,1.49946544291934e-176,7.40612261549128e-174,"ENSG00000087586","AURKA"
713.444525437262,6.91880936676913,0.244605586821213,28.2855737543976,5.20045327472653e-176,2.54238486114437e-173,"ENSG00000170373","CST1"
1442.14389304879,3.33126554093185,0.117874348853877,28.2611575234358,1.03805747327076e-175,5.0235690448891e-173,"ENSG00000142945","KIF2C"
23.0463834660171,-3.67697825760271,0.13037827515613,-28.2023845859247,5.46679148814883e-175,2.61913980197211e-172,"ENSG00000259347",NA
2374.84075010023,2.58417262377094,0.0916825023750237,28.1861048382001,8.65608931617092e-175,4.10607167463118e-172,"ENSG00000122952","ZWINT"
4407.49842674964,-2.01694366101584,0.0715615911059786,-28.1847235345684,9.00017967092568e-175,4.22743733366715e-172,"ENSG00000109686","SH3D19"
2740.1380903262,-2.87643643149483,0.102396220782038,-28.0912362734329,1.25348936037652e-173,5.83055099569313e-171,"ENSG00000105971","CAV2"
3749.56927886629,-2.10091351018692,0.0748115250115912,-28.0827520874813,1.59126252054186e-173,7.3305180153039e-171,"ENSG00000077157","PPP1R12B"
1785.32156170273,-4.94591894167886,0.176216633510546,-28.0672649519368,2.4593066113256e-173,1.12214647379628e-170,"ENSG00000244734","HBB"
3851.90766303487,-2.65708202841971,0.0946772804006585,-28.0646213872576,2.64896112409495e-173,1.19728044769235e-170,"ENSG00000174804","FZD4"
426.806008497683,2.84189540329632,0.101356519022627,28.0386050221585,5.50080062167009e-173,2.46302203536649e-170,"ENSG00000162062","TEDC2"
999.468022762932,-4.00322005853795,0.142926389377746,-28.0089637467696,1.26367520990545e-172,5.60580363949723e-170,"ENSG00000165810","BTNL9"
46.6181404205409,-3.2116020396332,0.114762517837573,-27.9847645394003,2.49026316170984e-172,1.09457346860109e-169,"ENSG00000245812","LINC02202"
3226.25800317858,-2.56445825379215,0.0916635428686086,-27.9768616129977,3.10744368741166e-172,1.35343297330811e-169,"ENSG00000180354","MTURN"
1032.50768493606,-3.37406310433858,0.12077515383578,-27.9367319947805,9.55560383038833e-172,4.12440522084599e-169,"ENSG00000132170","PPARG"
474.528670101044,3.38866191985804,0.121349183149217,27.9248844690712,1.33092839505974e-171,5.69328387565285e-169,"ENSG00000154839","SKA1"
2547.45953839581,3.39186041432423,0.12148348670726,27.9203413258761,1.51118703663456e-171,6.40716556859837e-169,"ENSG00000011426","ANLN"
920.053700094305,3.21398237023852,0.115408562029623,27.8487342162149,1.11583493395155e-170,4.68944313031742e-168,"ENSG00000080986","NDC80"
2501.99883737474,4.31241919555355,0.154906059411249,27.8389316205174,1.46652540816388e-170,6.10967237435928e-168,"ENSG00000165474","GJB2"
2410.10228448289,-2.89055675786975,0.104006658300931,-27.7920356743534,5.4141234573206e-170,2.23612633482957e-167,"ENSG00000099260","PALMD"
255.461606659736,-3.0937929971268,0.111427072027988,-27.7651825612873,1.14262954714662e-169,4.67892150459784e-167,"ENSG00000137727","ARHGAP20"
64.8694126925722,-2.689901098109,0.0969294313741538,-27.7511284237892,1.68869182542462e-169,6.85637503017744e-167,"ENSG00000164849","GPR146"
7588.05528338743,4.4939421290382,0.162075718594751,27.7274237498506,3.26205381705637e-169,1.31331931407707e-166,"ENSG00000105664","COMP"
2418.99513699889,-4.11998503005033,0.148672136970519,-27.711884109578,5.02120328464413e-169,2.00471541139417e-166,"ENSG00000168477","TNXB"
2627.61224095475,2.50920427775772,0.0905997888982555,27.6954759858832,7.91552286428948e-169,3.13415454899264e-166,"ENSG00000079462","PAFAH1B3"
