"gene","symbol","baseMean","log2FoldChange","pvalue","padj","significant"
"ENSG00000012048","BRCA1",1198.8751869731,1.10739519187105,1.24884217106021e-34,1.58958630221824e-33,TRUE
"ENSG00000091831","ESR1",29275.577078224,1.72097319516538,4.98705421426176e-20,3.30013490891272e-19,TRUE
"ENSG00000139618","BRCA2",698.218290236175,1.56989231743349,1.51777970481602e-61,4.70354629092726e-60,TRUE
"ENSG00000141510","TP53",4730.39261623684,0.22739846699555,0.00236873324043453,0.00464954152528755,FALSE
"ENSG00000141736","ERBB2",46493.8773193833,1.90338794622418,7.02725028311383e-32,7.97053885094659e-31,TRUE
