"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","symbol"
694.21496134592,1.32872963184181,0.0755048819653381,17.5979300577118,2.55492844413716e-69,1.01498027992215e-67,"ENSG00000000460","FIRRM"
6075.79017246402,1.14060632857636,0.0823656148347466,13.8480885605578,1.30642414411396e-43,2.30367246023187e-42,"ENSG00000001617","SEMA3F"
15.9234976690189,1.03395299855758,0.149641781804184,6.90952076413106,4.86293691506747e-12,2.08934900547828e-11,"ENSG00000002079",NA
139.149717917855,2.81049393717762,0.208822123818889,13.4587939523839,2.73341295125393e-41,4.41977099205453e-40,"ENSG00000002726","AOC1"
2523.34342486509,1.89812774936495,0.104374351896623,18.1857680059651,6.69115210177531e-74,3.08837280535699e-72,"ENSG00000003249","DBNDD1"
14224.5777937622,1.23787899248339,0.198911499012174,6.22326511353488,4.86913567602524e-10,1.82535438371181e-09,"ENSG00000003989","SLC7A2"
17163.5918333651,1.4393494146513,0.0794138679482008,18.1246607404911,2.03594928845451e-73,9.21079607269648e-72,"ENSG00000004478","FKBP4"
668.871378122544,2.52655943581703,0.151679807202926,16.6571904488042,2.68336987511425e-62,8.48582512981675e-61,"ENSG00000004838","ZMYND10"
68.4306925566724,1.87084877116069,0.268132656285194,6.97732531755028,3.0085252575685e-12,1.31130317585614e-11,"ENSG00000004848","ARX"
794.275768699546,1.46334188191714,0.109363595693474,13.3805209369543,7.85945863803962e-41,1.25223366594106e-39,"ENSG00000005001","PRSS22"
62.7588265288461,1.02182724044341,0.168054712236725,6.08032483495048,1.1993931477206e-09,4.36582021784639e-09,"ENSG00000005073","HOXA11"
835.277877957244,1.03336843873638,0.0816716494848794,12.6527190922928,1.08068799560278e-36,1.4938188652432e-35,"ENSG00000005448","WDR54"
1546.66760428353,1.01179049472008,0.109403189037997,9.24827240976197,2.28150257111428e-20,1.53779949609011e-19,"ENSG00000005844","ITGAL"
5616.89435474119,2.17457373256118,0.112376977882353,19.3507048644584,2.01073466183482e-83,1.2194214892216e-81,"ENSG00000006118","TMEM132A"
2855.9036640355,1.04810712816007,0.110854375735546,9.45481061262235,3.23607249036992e-21,2.26899214127942e-20,"ENSG00000006327","TNFRSF12A"
36.1516265168549,2.26306388651629,0.284177194831148,7.9635661399957,1.6715060151935e-15,8.82347434860297e-15,"ENSG00000006377","DLX6"
1867.14589999976,1.13170788865639,0.077565809445952,14.5902930265295,3.23803847949238e-48,6.7391148372059e-47,"ENSG00000006453","BAIAP2L1"
2509.40715689087,1.44272542580228,0.0867075765712495,16.6389776171032,3.63776109108321e-62,1.14510600442705e-60,"ENSG00000006625","GGCT"
901.411174493785,1.23563843175255,0.0721763816589433,17.1197059668542,1.05808422612045e-65,3.73290245017898e-64,"ENSG00000006634","DBF4"
