"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002251","organ or tissue specific immune response","25/2849","52/18842",0.480769230769231,3.17959067959068,6.64272776920899,2.03065695678813e-08,3.2824972454434e-06,3.2824972454434e-06,"RAB17/H2BC17/H2BC11/H2BC8/H2BC5/H2BC3/H2BC9/H2BC21/H2BC7/GP2/H2BC4/CAMP/H2BC12L/H2BC6/H2BC12/IFNL2/H2BC19P/BPIFB1/H2BC26/H2BC15/H2BC10/H2BC14/RNASE2/H2BC18/H2BC13",25
"GO:0051310","metaphase chromosome alignment","40/2849","109/18842",0.36697247706422,2.42699031689857,6.30614335744201,2.4402564054205e-08,3.82817200873958e-06,3.82817200873958e-06,"KIF14/PSRC1/KIF22/H3Y1/KNTC1/KIFC1/BUB3/NUF2/TEX14/CDT1/AURKB/SKA1/RCC2/SGO1/BIRC5/RACGAP1/ZWILCH/TTK/ZWINT/CENPA/SKA3/CENPE/SPC25/H3Y2/NEK2/NDC80/CDK1/RRS1/SPC24/CDCA8/CENPF/CCNB1/KNL1/KNSTRN/KIF2C/KIF18A/DSN1/SACK1D/ECT2/SPAG5",40
"GO:0007094","mitotic spindle assembly checkpoint signaling","26/2849","56/18842",0.464285714285714,3.07057614200471,6.5493966130222,2.64684381972533e-08,3.82817200873958e-06,3.82817200873958e-06,"KNTC1/BUB3/NUF2/TEX14/AURKB/SKA1/BIRC5/HASPIN/ZWILCH/TTK/ZWINT/PLK1/TRIP13/MAD2L1/SKA3/SPC25/NDC80/GEN1/SPC24/CDCA8/CENPF/BUB1B/CCNB1/KNL1/BUB1/CDC20",26
"GO:0071173","spindle assembly checkpoint signaling","26/2849","56/18842",0.464285714285714,3.07057614200471,6.5493966130222,2.64684381972533e-08,3.82817200873958e-06,3.82817200873958e-06,"KNTC1/BUB3/NUF2/TEX14/AURKB/SKA1/BIRC5/HASPIN/ZWILCH/TTK/ZWINT/PLK1/TRIP13/MAD2L1/SKA3/SPC25/NDC80/GEN1/SPC24/CDCA8/CENPF/BUB1B/CCNB1/KNL1/BUB1/CDC20",26
"GO:0071174","mitotic spindle checkpoint signaling","26/2849","56/18842",0.464285714285714,3.07057614200471,6.5493966130222,2.64684381972533e-08,3.82817200873958e-06,3.82817200873958e-06,"KNTC1/BUB3/NUF2/TEX14/AURKB/SKA1/BIRC5/HASPIN/ZWILCH/TTK/ZWINT/PLK1/TRIP13/MAD2L1/SKA3/SPC25/NDC80/GEN1/SPC24/CDCA8/CENPF/BUB1B/CCNB1/KNL1/BUB1/CDC20",26
"GO:0051783","regulation of nuclear division","46/2849","135/18842",0.340740740740741,2.25350545350545,6.16913493717959,3.25024540803863e-08,4.3669618771387e-06,4.3669618771387e-06,"DLGAP5/KNTC1/DMRT1/RAD21/BUB3/NUF2/TEX14/UBE2C/AURKB/SKA1/BIRC5/HASPIN/ZWILCH/TTK/ZWINT/RCC1/PLK1/TRIP13/MAD2L1/SKA3/PKMYT1/SPC25/NEK2/RAD51AP1/ESPL1/NDC80/STRA8/MKI67/CDCA2/GEN1/SPC24/CDCA8/HORMAD1/MEIOSIN/CENPF/CDC25C/BUB1B/AURKA/CCNB1/FBXO43/EPGN/ANAPC11/KNL1/CHEK1/BUB1/CDC20",46
"GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","27/2849","60/18842",0.45,2.97609687609688,6.47062407807699,3.2790678157875e-08,4.3669618771387e-06,4.3669618771387e-06,"KNTC1/RAD21/BUB3/NUF2/TEX14/AURKB/SKA1/BIRC5/HASPIN/ZWILCH/TTK/ZWINT/PLK1/TRIP13/MAD2L1/SKA3/SPC25/NDC80/GEN1/SPC24/CDCA8/CENPF/BUB1B/CCNB1/KNL1/BUB1/CDC20",27
"GO:1905819","negative regulation of chromosome separation","27/2849","60/18842",0.45,2.97609687609688,6.47062407807699,3.2790678157875e-08,4.3669618771387e-06,4.3669618771387e-06,"KNTC1/RAD21/BUB3/NUF2/TEX14/AURKB/SKA1/BIRC5/HASPIN/ZWILCH/TTK/ZWINT/PLK1/TRIP13/MAD2L1/SKA3/SPC25/NDC80/GEN1/SPC24/CDCA8/CENPF/BUB1B/CCNB1/KNL1/BUB1/CDC20",27
"GO:0006836","neurotransmitter transport","62/2849","206/18842",0.300970873786408,1.99048550504861,6.03307347445757,3.33719794104486e-08,4.3669618771387e-06,4.3669618771387e-06,"SLC6A5/SLC18A1/SYT9/CHAT/CADPS/STXBP2/SYT1/NPY/SLC25A22/SLC18A3/SCRIB/RAB3A/SLC1A6/CSPG5/SLC29A3/SLC1A2/STX1A/SLC6A15/SLC17A8/HRH3/SLC4A8/PTPRN2/WNT7A/GABRQ/CPLX2/SLC1A1/CHRNB4/DRD4/PNOC/SYT7/SNPH/UNC13A/RIMS1/SLC6A17/PRRT2/SLC6A19/PPFIA3/ADORA2A/SYT13/CACNA1B/BAIAP3/GDNF/SYT4/SYNGR3/DOC2A/SLC6A9/GPR158/CAMK2A/RIMS2/PRKCG/SYP/SLC6A4/CDK5/CPLX4/BRSK1/RIMS4/KMO/SYN1/SLC6A11/SYT5/GRM4/SLC32A1",62
"GO:0050000","chromosome localization","43/2849","123/18842",0.349593495934959,2.31205358034626,6.16163594821098,3.8712604153472e-08,4.77517502521988e-06,4.77517502521988e-06,"KIF14/MAJIN/PSRC1/KIF22/DLGAP5/H3Y1/KNTC1/KIFC1/BUB3/NUF2/TEX14/CDT1/AURKB/SKA1/RCC2/SGO1/BIRC5/RACGAP1/ZWILCH/TTK/ZWINT/CENPA/KASH5/SKA3/CENPE/SPC25/H3Y2/NEK2/NDC80/CDK1/RRS1/SPC24/CDCA8/CENPF/CCNB1/KNL1/KNSTRN/KIF2C/KIF18A/DSN1/SACK1D/ECT2/SPAG5",43
